"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","磷","視網醇","視網醇當量(RE)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","菸鹼素","葉酸","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵"
"加工調理食品及其他類","樣品基本資料","R2300301","冷凍芋泥包","","Taro paste bun","冷凍包裝,混合均勻打碎(麵粉,芋頭等)",0,0.52,0.76,0,0.28,4,0.91,0.4,223,0,1,6,0.06,0,0.06,0.07,0,0,0,0,0,2.1,0,0,0,0.56,22.8,46,16,130,0,0.7,0,18,0.5
"加工調理食品及其他類","樣品基本資料","R2300501","冷凍芝麻包","","Sesame bun","冷凍包裝,混合均勻打碎(麵粉,芝麻粉等)",NA,0.78,12.68,0,23.5,0,1.41,0.14,321,0,0,0,0.05,0,0.07,0.02,1.3,0,0,0,0,25.83,0,0,0,0.7,0,24,4,139,0,0.7,0,20,1.1
"加工調理食品及其他類","樣品基本資料","R2100401","擔仔麵","","","熟食,加肉燥不含湯,混合均勻打碎",NA,0.13,0.17,0,0.01,0,0.38,0.05,31,3,3,10,0.03,0.33,0.07,0.12,0,0,0,0,0,0.57,0,0,0,0.7,9,312,6,83,0,0.4,0,12,1.3
"堅果及種子類","樣品基本資料","C2300101","生鮮蓮子","","Lotus nut; Lotus seed","生鮮,混合均勻打碎(蓮子,蓮子心等)",NA,0.16,0.21,0,0.04,0,0.39,0,290,0,0,0,0.05,0,0.02,0.07,2.3,0,0,0,0,0.58,0,0,0,0.4,24.6,119,69,305,0,1.2,0,99,5.1
"糕餅點心類","樣品基本資料","Q4200201","洋芋片","","Potato chips","熟食,混合均勻打碎",NA,12.05,12.47,0,0,0,4.07,0.45,137,0,0,0,0.23,0,0.03,0.54,0,0,0,0,0,16.57,0,0,0,2.3,7,383,17,817,0,0.5,0,57,1.7
"糕餅點心類","樣品基本資料","Q0700201","泡芙(巧克力)","","Chocolate puff","熟食,混合均勻打碎(麵粉,雞蛋等)",NA,3.26,3.46,0,0,14,1.9,0.18,252,202,204,697,0.1,0.06,0.41,0.11,0,0,0,0,0,5.34,0,0,0,0.4,16,146,167,332,0,1.4,0,46,1.6
"加工調理食品及其他類","樣品基本資料","R2100201","泡麵(牛肉口味)","","Instant noodle","混合均勻打碎(麵粉,調味料等)",0,2.55,2.93,20,0.23,165,2.41,0.92,115,0,29,292,0.24,0.17,0.13,0.2,0,0,0,0,0,6.11,0,0,0,0.7,9,2077,13,186,0,0.8,0,30,1.6
"加工調理食品及其他類","樣品基本資料","R2700201","冷凍蔥油餅","蔥油派","","冷凍包裝,混合均勻打碎(麵粉,蔥,雞蛋等)",0,0.17,0.2,0,0.01,24,0.3,0.02,91,1,5,44,0.08,0.19,0.05,0.1,0.3,0,0,0,0,0.5,0,0,0,0.63,18.5,602,8,88,0,0.5,0,21,1.3
"加工調理食品及其他類","樣品基本資料","R2200301","冷凍豬肉韭菜水餃","","Dumpling: pork and leek","冷凍包裝,混合均勻打碎(麵粉,鮮肉,蔬菜等)",NA,0.01,0.22,0,0.41,0,0.02,0,70,10,10,33,0.14,0.5,0.11,0.09,0.4,0,0,0,0,0.44,0,0,0,3.2,0,439,18,154,0,0.6,0,17,0.7
"堅果及種子類","樣品基本資料","C2350101","糖漬蓮子","","Lotus nut; Lotus seed","熟,混合均勻打碎(蓮子,糖等)",NA,0.3,0.36,0,0,0,0.57,0.02,200,0,0,0,0.01,0,0.11,0.11,0.4,0,0,0,0,0.89,0,0,0,0.47,33.3,11,54,155,0,1,0,72,1.1
