"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","P/M/S","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","丙胺酸(Ala)","乳糖","亞麻油酸(18:2)","修正熱量","其他脂肪酸","十七酸(17:0)","十三酸(13:0)","十九酸(19:0)","十五酸(15:0)","十八碳四烯酸(18:4)","半乳糖","反式脂肪","天門冬胺酸(Asp)","山酸(22:0)","己酸(6:0)","廿二碳五烯酸(22:5)","廿二碳六烯酸(22:6)","廿四酸(24:0)","廿碳五烯酸(20:5)","月桂酸(12:0)","果糖","棕櫚烯酸(16:1)","棕櫚酸(16:0)","次亞麻油酸(18:3)","水分","水解胺基酸總量","油酸(18:1)","灰分","熱量","甘胺酸(Gly)","甲硫胺酸(Met)","異白胺酸(Ile)","癸酸(10:0)","白胺酸(Leu)","硬脂酸(18:0)","磷","視網醇","視網醇當量(RE)","粗脂肪","粗蛋白","精胺酸(Arg)","糖質總量","組胺酸(His)","絲胺酸(Ser)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","總碳水化合物","纈胺酸(Val)","肉豆蔻烯酸(14:1)","肉豆蔻酸(14:0)","胱胺酸(Cys)","脂肪酸M總量","脂肪酸P總量","脂肪酸S總量","脯胺酸(Pro)","膳食纖維","膽固醇","色胺酸(Trp)","芥子酸(22:1)","花生油酸(20:4)","花生酸(20:0)","苯丙胺酸(Phe)","菸鹼素","葉酸","葡萄糖","蔗糖","辛酸(8:0)","酒精含量","酥胺酸(Thr)","酪胺酸(Tyr)","酪酸(4:0)","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵","離胺酸(Lys)","飽和脂肪","鱈烯酸(20:1)","麥芽糖","麩胺酸(Glu)"
"加工調理食品及其他類","樣品基本資料","R2300301","冷凍芋泥包","","Taro paste bun","冷凍包裝,混合均勻打碎(麵粉,芋頭等)",0,0,0.52,0.76,0,0.28,4,0.91,0.4,207,0,1056,258,0,2,0,0,1,0,0,25.47,337,8,0,0,0,1,0,46,1,8,1021,104,38.2,6518,1028,0.5,263,236,55,239,7,457,197,223,0,1,3.6,6.6,264,11.6,148,288,6,0.06,0,0.06,0.07,0,0,0,0,0,2.1,0,0,0,51.1,274,0,51,203,1043,1160,1351,790,2.4,0,45,3,0,12,312,0.56,22.8,1,8.1,5,0,180,192,0,46,16,130,0,0.7,0,18,0.5,181,1.4,4,1.5,2110
"加工調理食品及其他類","樣品基本資料","R2300501","冷凍芝麻包","","Sesame bun","冷凍包裝,混合均勻打碎(麵粉,芝麻粉等)",NA,0,0.78,12.68,0,23.5,0,1.41,0.14,242,0,2716,340,27,43,0,0,21,0,0,28.01,334,14,0,0,0,7,0,50,0.9,88,2977,59,28.8,7145,4435,0.6,341,268,126,226,4,493,1035,321,0,0,11.7,7.2,362,11.4,159,353,0,0.05,0,0.07,0.02,1.3,0,0,0,0,25.83,0,0,0,51.7,271,0,150,17,4535,2775,4355,828,0.6,9,73,0,0,48,352,0.7,0,0.9,8.5,6,0,207,226,0,24,4,139,0,0.7,0,20,1.1,153,4.4,13,1,2455
"加工調理食品及其他類","樣品基本資料","R2100401","擔仔麵","","","熟食,加肉燥不含湯,混合均勻打碎",NA,0,0.13,0.17,0,0.01,0,0.38,0.05,166,0,1196,119,0,0,0,0,3,0,0,0,311,0,0,18,21,0,4,6,0,140,1476,93,76.3,4404,2622,0.9,124,188,52,135,8,255,740,31,3,3,6.5,4.4,213,0,103,175,10,0.03,0.33,0.07,0.12,0,0,0,0,0,0.57,0,0,0,11.9,165,0,87,110,2816,1348,2335,399,2.5,10,42,0,17,15,181,0.7,9,0,0,0,0,121,125,0,312,6,83,0,0.4,0,12,1.3,152,2.3,55,0,1511
"堅果及種子類","樣品基本資料","C2300101","生鮮蓮子","","Lotus nut; Lotus seed","生鮮,混合均勻打碎(蓮子,蓮子心等)",NA,0,0.16,0.21,0,0.04,0,0.39,0,401,0,292,124,3,0,0,0,0,0,0,0,932,18,0,0,0,4,0,0,0,3,127,31,63.2,8537,50,1.4,141,417,69,368,0,600,6,290,0,0,0.5,9.3,752,0,228,534,0,0.05,0,0.02,0.07,2.3,0,0,0,0,0.58,0,0,0,25.6,454,0,3,159,55,323,165,273,8,0,0,0,0,6,392,0.4,24.6,0,0,0,0,327,303,0,119,69,305,0,1.2,0,99,5.1,492,0.2,2,0,1836
"糕餅點心類","樣品基本資料","Q4200201","洋芋片","","Potato chips","熟食,混合均勻打碎",NA,0,12.05,12.47,0,0,0,4.07,0.45,170,0,10605,549,0,12,0,0,5,0,0,63.24,1091,40,9,0,0,32,0,47,0.1,122,11088,82,1.9,4602,10578,2.8,553,122,45,150,0,213,1231,137,0,0,34.3,5.2,255,1.9,112,160,0,0.23,0,0.03,0.54,0,0,0,0,0,16.57,0,0,0,55.8,251,0,246,87,10810,10687,12845,171,2.2,0,56,0,0,130,186,2.3,7,0.1,1.7,5,0,146,169,0,383,17,817,0,0.5,0,57,1.7,242,12.8,110,0,976
"糕餅點心類","樣品基本資料","Q0700201","泡芙(巧克力)","","Chocolate puff","熟食,混合均勻打碎(麵粉,雞蛋等)",NA,0,3.26,3.46,0,0,14,1.9,0.18,497,1.7,3190,585,15,30,0,0,20,0,0,253.16,927,131,57,10,11,40,0,807,0,208,11635,195,1.4,11184,18830,1.7,590,342,61,518,156,934,3653,252,202,204,40.4,10.3,501,21.6,258,683,697,0.1,0.06,0.41,0.11,0,0,0,0,0,5.34,0,0,0,46.2,633,10,760,403,19307,3452,17635,940,2.1,146,142,46,46,202,517,0.4,16,0,19.9,145,0,471,374,0,146,167,332,0,1.4,0,46,1.6,668,17.6,212,0,2315
"加工調理食品及其他類","樣品基本資料","R2100201","泡麵(牛肉口味)","","Instant noodle","混合均勻打碎(麵粉,調味料等)",0,0,2.55,2.93,20,0.23,165,2.41,0.92,339,0,2278,470,19,23,0,0,10,0,0,189.06,384,9,0,0,0,9,0,112,0,134,10083,76,6.9,9835,9553,5.4,473,340,115,307,20,590,1684,115,0,29,24.5,9.6,328,1.6,182,392,292,0.24,0.17,0.13,0.2,0,0,0,0,0,6.11,0,0,0,53.6,358,0,346,366,9729,2353,12405,1093,1.8,0,97,0,0,80,416,0.7,9,0.4,0.8,28,0,236,260,0,2077,13,186,0,0.8,0,30,1.6,190,12.4,42,0.4,3842
"加工調理食品及其他類","樣品基本資料","R2700201","冷凍蔥油餅","蔥油派","","冷凍包裝,混合均勻打碎(麵粉,蔥,雞蛋等)",0,0,0.17,0.2,0,0.01,24,0.3,0.02,291,0,721,255,5,11,0,3,0,0,0,31.01,348,3,0,0,0,2,0,12,0.1,40,775,73,37.5,8603,1082,1.8,258,292,99,302,0,587,301,91,1,5,3.1,9.1,344,2.4,187,379,44,0.08,0.19,0.05,0.1,0.3,0,0,0,0,0.5,0,0,0,48.5,354,0,37,324,1122,794,1156,1044,1.3,9,82,0,0,10,413,0.63,18.5,0.2,0.7,0,0,223,256,0,602,8,88,0,0.5,0,21,1.3,194,1.2,0,1.4,2885
"加工調理食品及其他類","樣品基本資料","R2200301","冷凍豬肉韭菜水餃","","Dumpling: pork and leek","冷凍包裝,混合均勻打碎(麵粉,鮮肉,蔬菜等)",NA,0,0.01,0.22,0,0.41,0,0.02,0,321,0,2065,225,112,17,0,0,3,0,0,32.38,435,7,0,13,9,3,0,5,0.4,115,2635,133,54.6,7311,4797,2.5,229,327,120,277,5,509,1331,70,10,10,11.5,8.4,370,1.8,193,290,33,0.14,0.5,0.11,0.09,0.4,0,0,0,0,0.44,0,0,0,23,317,0,116,165,5020,2233,4151,712,1.8,31,85,13,13,29,333,3.2,0,0.5,0.5,0,0,231,224,0,439,18,154,0,0.6,0,17,0.7,328,4.2,95,0.4,2074
"堅果及種子類","樣品基本資料","C2350101","糖漬蓮子","","Lotus nut; Lotus seed","熟,混合均勻打碎(蓮子,糖等)",NA,0,0.3,0.36,0,0,0,0.57,0.02,163,0,0,223,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,41.9,3339,0,0.9,230,157,18,140,0,238,0,200,0,0,0.1,5.7,253,0,91,226,0,0.01,0,0.11,0.11,0.4,0,0,0,0,0.89,0,0,0,51.4,175,0,0,42,0,0,0,98,3.3,0,86,0,0,0,148,0.47,33.3,0,0,0,0,127,88,0,11,54,155,0,1,0,72,1.1,191,0,0,0,729
